question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,exam_id,subject_id,topic,year,source_detail,source_type,verified
"SQL is used for:","Database queries","Web development","System programming","Gaming","0","SQL (Structured Query Language) is for database operations","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Best sorting for nearly sorted data:","Quick Sort","Merge Sort","Insertion Sort","Heap Sort","2","Insertion sort performs best on nearly sorted data (O(n))","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Number of layers in OSI model:","4","5","7","9","2","OSI model has 7 layers","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Hybrid inheritance in Java is achieved using:","Classes only","Interfaces","Cannot be achieved","Abstract classes","1","Java doesn't support multiple inheritance; hybrid achieved via interfaces","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Queue follows:","LIFO","FIFO","Random access","Priority","1","Queue follows FIFO (First In First Out)","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Python is a:","Low-level language","High-level language","Machine language","Assembly language","1","Python is a high-level interpreted language","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Default port for SSH:","21","22","23","25","1","SSH (Secure Shell) uses port 22","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Third normal form (3NF) eliminates:","Partial dependency","Transitive dependency","Multi-valued dependency","Join dependency","1","3NF eliminates transitive dependencies","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Space complexity of Merge Sort:","$O(1)$","$O(\log n)$","$O(n)$","$O(n^2)$","2","Merge sort requires $O(n)$ auxiliary space","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Which SQL command creates a new table?","NEW TABLE","CREATE TABLE","MAKE TABLE","BUILD TABLE","1","CREATE TABLE is used to create new tables in SQL","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
